"","Exp_IDs","ID_IDs","combi","Light","Stage","Age","Spec","Rep","sws1","sws2b","sws2a","EF1A","GAPDH","G_mean","relsws1","relsws2b","relsws2a","day"
"132","PRX315","WR-E20-XIL04","WR-E20-XIL","WR","E",20,"XIL",4,22.9186527261767,25.2374064707031,30.4840118834953,21.4516228048473,19.636965184249,20.5242483459061,0.1902,0.03812,0.001,0
"133","PRX316","WR-E21-XIL04","WR-E21-XIL","WR","E",21,"XIL",4,26.4193287618741,25.6057651083717,26.7457622198815,24.6405781326562,24.029122755147,24.3329298833368,0.23547,0.41385,0.18779,1
"134","PRX328","WR-E20-XIL05","WR-E20-XIL","WR","E",20,"XIL",5,22.1559428760754,25.367724305,26.2026652727385,15.5671808619295,15.3640010680314,15.4652573010902,0.00968,0.00104,0.00059,0
"135","PRX329","WR-E21-XIL05","WR-E21-XIL","WR","E",21,"XIL",5,21.4480114741299,30.7375902607932,24.4468911570051,20.8131842043375,17.484454601853,19.076351179949,0.19322,0.00031,0.02417,1
"136","PRX330","WR-E22-XIL05","WR-E22-XIL","WR","E",22,"XIL",5,28.8924665468202,30.7994069521056,23.7670307069469,23.8245257932968,21.036084361187,22.3869322251412,0.01101,0.00293,0.38419,2
"137","PRX331","WR-E23-XIL05","WR-E23-XIL","WR","E",23,"XIL",5,30.832565553457,23.2291841808022,21.1181875676134,22.0938951801674,20.0366949317985,21.0401672422095,0.00113,0.2193,0.94736,3
"138","PRX332","WR-E24-XIL05","WR-E24-XIL","WR","E",24,"XIL",5,29.9551373061843,24.0941833323152,21.4629186408679,22.9771868871935,19.6387400888468,21.2424810521382,0.00238,0.13853,0.85831,4
"139","PRX338","WR-E30-XIL05","WR-E30-XIL","WR","E",30,"XIL",5,28.0763343163109,22.6037441026252,20.2407041812834,20.7018734168651,18.065099263897,19.3385986623721,0.00234,0.10401,0.53511,10
"140","PRX4","WR-L38-XIL01","WR-L38-XIL","WR","L",38,"XIL",1,24.4617735360994,20.3059980940047,20.6838486822404,18.5878515855726,17.5352023979177,18.0538566432624,0.01178,0.20991,0.16154,3
"141","PRX50","RW-L45-XIL01","RW-L45-XIL","RW","L",45,"XIL",1,21.8971787578303,21.7067671120465,25.4805887815667,21.381338775966,18.4263787375968,19.8489457201841,0.24178,0.27589,0.02017,10
"142","PRX6","RW-L36-XIL01","RW-L36-XIL","RW","L",36,"XIL",1,27.341392505676,23.8348180308619,26.449115436769,17.382580726287,16.4846682123566,16.927671899802,0.00073,0.00833,0.00136,1
"143","PRX62","RW-E20-XIL01","RW-E20-XIL","RW","E",20,"XIL",1,26.7627474017142,23.5708010535961,21.7163444216317,20.8799336838316,17.296802968811,19.0041074226356,0.00462,0.0422,0.15259,0
"144","PRX63","RW-E21-XIL01","RW-E21-XIL","RW","E",21,"XIL",1,25.8515377705829,23.1527665550457,25.1562080892096,17.7046758027786,17.2369675881268,17.4692565088154,0.003,0.01946,0.00485,1
"145","PRX65","RW-E23-XIL01","RW-E23-XIL","RW","E",23,"XIL",1,22.5112873730783,23.2764343240385,27.9774734695968,20.204846645825,16.7261650697318,18.383405566072,0.0572,0.03366,0.00129,3
"146","PRX66","RW-E24-XIL01","RW-E24-XIL","RW","E",24,"XIL",1,23.0678972315027,23.366577232109,28.0720091662301,21.119171987121,18.2090183603171,19.6101858856101,0.09102,0.074,0.00284,4
"147","PRX7","RW-L37-XIL01","RW-L37-XIL","RW","L",37,"XIL",1,26.779102973524,26.2648908300505,27.2476282838282,17.3121672358609,16.3748324122059,16.8369782674714,0.00102,0.00145,0.00073,2
"148","PRX8","RW-L38-XIL01","RW-L38-XIL","RW","L",38,"XIL",1,24.2340855173456,23.7227669822381,28.9476628410045,17.1460821363185,16.525163910123,16.8327602525283,0.00592,0.00843,0.00023,3
"149","PRX83","WW-L38-XIL01","WW-L38-XIL","WW","L",38,"XIL",1,21.4814683203564,23.6941508517387,27.7073736962634,18.4385224774382,17.9474839594117,18.191346470206,0.10223,0.02205,0.00137,3
"150","PRX87","WW-L42-XIL01","WW-L42-XIL","WW","L",42,"XIL",1,22.9307858108356,24.6849090848923,31.1733711407788,23.0889541776242,19.4940670210728,21.2155042406511,0.30454,0.09028,0.00101,7
"151","PRX96","WR-E22-XIL02","WR-E22-XIL","WR","E",22,"XIL",2,23.6463558122177,20.8832597087921,23.7061758442978,21.171758907714,18.479694192535,19.779980539238,0.06857,0.46546,0.06578,2
"152","PRX97","WR-E23-XIL02","WR-E23-XIL","WR","E",23,"XIL",2,25.415379777669,22.5039702160864,23.3329823574267,22.5595570021555,18.7680169758656,20.5766408527841,0.03495,0.26292,0.148,3
